condition,seed,final_mean_M_lesion,final_mean_I_lesion,final_mean_G_lesion,final_lesion_area_dem,final_lesion_area_repaired,final_n_opc,final_n_oligo,final_n_micro,final_mutant_fraction,peak_mean_I
mild,1,1.0,2.9016731953766525e-07,1.6055035811512002,0,253,0,52,8,0.0,0.041269165168832944
mild,2,1.0,3.831161811417342e-09,1.2197412651616175,0,253,1,54,8,0.0,0.04017905828510737
mild,3,0.9035968916437038,2.226367827403994e-09,0.3717085308582685,27,211,29,27,8,0.0,0.04676430736628906
mild,4,0.1697864444384318,1.3087587067899927e-10,0.011366247766324984,242,0,50,8,8,0.02,0.03614819282670112
mild,5,1.0,0.0011934037378447484,1.578810039069764,0,253,1,53,8,0.0,0.07217751584022997
mild,6,1.0,1.178000349990778e-06,1.597789107402727,0,253,0,49,8,0.0,0.06706066580955877
mild,7,1.0,6.330506824555078e-07,1.591907708835584,0,253,0,48,8,0.0,0.04486923423919355
mild,8,1.0,1.413649802864164e-07,1.6148108833364874,0,253,0,54,8,0.0,0.03848312923778665
mild,9,0.11359910496604951,6.09425341240494e-09,0.022580998229687087,253,0,48,8,8,0.020833333333333332,0.04899898022190715
mild,10,1.0,0.00041617902152246163,1.593405460963264,0,253,1,53,8,0.0,0.08000869146717116
mild,11,1.0,3.563642357831485e-08,1.5966952666999892,0,253,0,55,7,0.0,0.029572297807767392
mild,12,1.0,0.0008339638117544886,1.5704354693172813,0,253,0,49,8,0.0,0.09207582196720758
mild,13,0.11054173130968957,2.202580037372151e-09,0.019086637515015666,250,1,48,9,8,0.0,0.06283274087123582
mild,14,1.0,3.373155208983479e-06,1.5605429914432531,0,253,0,47,8,0.0,0.06255672356197013
mild,15,1.0,7.570225559871432e-08,1.5965827335898959,0,253,0,54,8,0.0,0.04225472301925165
mild,16,1.0,1.1840493528553668e-07,1.6000498128516174,0,253,1,54,8,0.0,0.03883658296694698
mild,17,1.0,6.270333796305909e-08,1.5937221822694054,0,253,0,51,8,0.0,0.03640702405791056
mild,18,0.12778170465597288,1.0871853396728022e-10,0.008700679494252385,253,0,51,8,8,0.0,0.038056860432183065
mild,19,1.0,2.0338706263084402e-07,1.6068689034697738,0,253,0,52,8,0.0,0.05559331154253807
mild,20,1.0,0.0001257740018623309,1.6035840008265807,0,253,0,49,8,0.0,0.07644239767205367
mild,21,1.0,7.496341307938476e-08,1.5797978149623106,0,253,0,55,8,0.0,0.053886723923409034
mild,22,1.0,5.209930030977639e-08,1.6001949793584445,0,253,1,51,8,0.0,0.030211776773289376
mild,23,0.14874009499468202,1.5467287913441218e-10,0.02087284532411164,251,0,46,9,8,0.0,0.031614195375286626
mild,24,1.0,5.365718321801543e-07,1.587668779904159,0,253,0,50,8,0.0,0.050506649759152866
mild,25,1.0,2.9499509636253774e-09,1.4348132420318296,0,253,1,54,8,0.0,0.02529699968260382
