condition,seed,final_mean_M_lesion,final_mean_I_lesion,final_mean_G_lesion,final_lesion_area_dem,final_lesion_area_repaired,final_n_opc,final_n_oligo,final_n_micro,final_mutant_fraction,peak_mean_I
strong,1,1.0,0.23213476444614073,1.5986868101646021,0,253,0,49,8,0.0,0.31634567865647173
strong,2,1.0,0.21585419089178778,1.6075508992153025,0,253,0,51,8,0.0,0.2968370723438887
strong,3,0.08880684338829806,2.0178665530956547e-09,0.032770216320265916,252,0,48,9,8,0.0,0.13529741805294862
strong,4,0.13545915566609196,0.13010972020909467,0.2040001749683524,245,0,29,28,8,0.0,0.22321902695211734
strong,5,1.0,0.20254016132107472,1.6126518643443108,0,253,3,52,8,0.0,0.2903296783632436
strong,6,1.0,0.24056938289414176,1.5946494830227422,0,253,0,47,8,0.0,0.3368429907634061
strong,7,1.0,0.21829924495416156,1.605335559841947,0,253,0,51,8,0.0,0.2989108222211836
strong,8,1.0,0.2578344328002645,1.5853338988017194,0,253,0,45,8,0.0,0.3587365771586239
strong,9,0.08928736501496401,9.78126286764049e-10,0.02070557298024233,253,0,51,8,8,0.0,0.1024142401003783
strong,10,1.0,0.15776625121181906,1.596054395570228,0,253,0,52,8,0.0,0.2759306208335252
strong,11,1.0,1.9905123045572756e-07,1.557988017635458,0,253,2,56,7,0.0,0.0920533490698756
strong,12,1.0,0.22023319439471864,1.605543257222964,0,253,0,49,8,0.0,0.31602891340909633
strong,13,1.0,6.663387289177772e-07,1.614712065550479,0,253,0,54,8,0.0,0.13191314437375967
strong,14,1.0,0.23150356406023057,1.5989110869961654,0,253,0,49,8,0.0,0.31607255007348095
strong,15,1.0,0.1870322472566273,1.599145488741891,0,253,0,53,8,0.0,0.2718066095068002
strong,16,1.0,3.103574187990876e-07,1.5899026810120043,0,253,0,53,8,0.0,0.1398583422236828
strong,17,1.0,1.0520387222393487e-07,1.590441456146028,0,253,1,53,8,0.0,0.09317902861194866
strong,18,1.0,0.19711234631698665,1.6127761497922168,0,253,0,52,8,0.0,0.2861669193105652
strong,19,1.0,8.740268759253248e-08,1.5431354775758304,0,253,0,54,8,0.0,0.13906362034094621
strong,20,1.0,1.6229570907176099e-06,1.5966859873104755,0,253,0,51,8,0.0,0.16405472822379713
strong,21,1.0,0.16206822122457978,1.535583582734273,0,253,1,56,8,0.0,0.23782143468433037
strong,22,1.0,8.956013291987423e-07,1.5896183205281393,0,253,0,46,8,0.0,0.08904459357613628
strong,23,0.5671988578080122,2.732880950911128e-09,0.3727909513182393,124,107,28,29,8,0.07142857142857142,0.10747053370808207
strong,24,1.0,7.457963793750001e-07,1.5952334300193012,0,253,0,49,8,0.0,0.09002924660833439
strong,25,1.0,1.1091055421883555e-08,1.1673847985292374,0,253,0,55,8,0.0,0.08897870184194193
